"","FID_","LINK_ID","F_NODE","T_NODE","ROAD_USE","LANES","ROAD_RANK","ROAD_NAME","MULTI_LINK","CONNECT","MAX_SPD","REST_VEH","REST_W","REST_H","REMARK","USER_ID","WORKSTATE","DEPT_CODE","STNL_REG","ROAD_TYPE","ROAD_NO","TMPID","UPLOAD_ID","SOSFNODEID","SOSTNODEID","SHAPE_STLe"
"1",NA,2.01586263657107e-314,2.01583388195048e-314,2.01583393135704e-314,0,1,107,"-",0,0,50,0,43200,0,"새가름교","",5,49000,408,3,"-","NTIC_0609_S","","TEMP102","TEMP103",29.7893576788
"2",NA,2.01586268597763e-314,2.01583457364238e-314,2.0157945064007e-314,0,1,107,"-",0,0,50,0,43200,0,"모살물교","",5,49000,408,3,"-","NTIC_0609_S","","TEMP676","",79.2319001324
"3",NA,2.0158627353842e-314,2.0157945064007e-314,2.01583457364238e-314,0,1,107,"-",0,0,50,0,43200,0,"모살물교","",5,49000,408,3,"-","NTIC_0611_S","","","TEMP676",79.2316882185
"4",NA,2.01586288360389e-314,2.0158334372914e-314,2.01583338788483e-314,0,1,107,"-",0,0,50,0,32400,0,"서중교","",5,49000,408,3,"-","NTIC_0609_S","","TEMP572","TEMP571",40.6224021617
"5",NA,2.01586293301045e-314,2.01583338788483e-314,2.0158334372914e-314,0,1,107,"-",0,0,50,0,32400,0,"서중교","",5,49000,408,3,"-","NTIC_0609_S","","TEMP571","TEMP572",40.6223907753
"6",NA,2.01586298241702e-314,2.01583264678636e-314,2.0158325973798e-314,0,1,107,"-",0,0,50,0,0,0,"","",5,49000,408,0,"-","NTIC_0609_S","","TEMP573","TEMP574",46.284997847
"7",NA,2.01586303182358e-314,2.0158325973798e-314,2.01583264678636e-314,0,1,107,"-",0,0,50,0,0,0,"","",5,49000,408,0,"-","NTIC_0609_S","","TEMP574","TEMP573",46.2849187164
"8",NA,2.01586308123015e-314,2.0158310657763e-314,2.0158309175566e-314,0,1,107,"-",0,0,30,0,0,0,"","",5,49000,408,0,"-","NTIC_0609_S","","TEMP563","TEMP82",64.6339646442
"9",NA,2.01586313063671e-314,2.0158309175566e-314,2.0158310657763e-314,0,1,107,"-",0,0,30,0,0,0,"","",5,49000,408,0,"-","NTIC_0609","","TEMP82","TEMP563",64.6339443489
"10",NA,2.01586318004328e-314,2.0157905528874e-314,2.01583012705157e-314,0,1,107,"-",0,0,50,0,0,0,"","",5,49000,408,0,"-","NTIC_0611_S","","","TEMP536",245.100987767
"11",NA,2.01586322944984e-314,2.01583012705157e-314,2.0157905528874e-314,0,1,107,"-",0,0,50,0,0,0,"","",5,49000,408,0,"-","NTIC_0609","","TEMP536","",245.101052064
"12",NA,2.01586327885641e-314,2.01583081874347e-314,2.01583086815004e-314,0,2,103,"일반국도12호선",0,0,50,0,0,0,"","",5,49000,408,0,"12","NTIC_0609","","TEMP540","TEMP535",356.171994233
"13",NA,2.01586332826297e-314,2.01583086815004e-314,2.01583081874347e-314,0,2,103,"일반국도12호선",0,0,50,0,0,0,"","",5,49000,408,0,"12","NTIC_0609","","TEMP535","TEMP540",356.171596125
"14",NA,2.01586337766954e-314,2.01583012705157e-314,2.01583086815004e-314,0,1,107,"-",0,0,50,0,0,0,"","",5,49000,408,0,"-","NTIC_0609","","TEMP536","TEMP535",283.188666031
"15",NA,2.0158634270761e-314,2.01583086815004e-314,2.01583012705157e-314,0,1,107,"-",0,0,50,0,0,0,"","",5,49000,408,0,"-","NTIC_0609","","TEMP535","TEMP536",283.188668676
"16",NA,2.01586347648266e-314,2.01582973179905e-314,2.01582968239249e-314,0,1,107,"-",0,0,50,0,0,0,"","",5,49000,408,0,"-","NTIC_0609","","TEMP531","TEMP532",117.354262392
"17",NA,2.01586352588923e-314,2.01582968239249e-314,2.01582973179905e-314,0,1,107,"-",0,0,50,0,0,0,"","",5,49000,408,0,"-","NTIC_0609","","TEMP532","TEMP531",117.354485206
"18",NA,2.01586357529579e-314,2.01583017645813e-314,2.0158302258647e-314,0,1,107,"-",0,0,30,0,0,0,"","",5,49000,408,0,"-","NTIC_0609","","TEMP526","TEMP525",66.3659855041
"19",NA,2.01586362470236e-314,2.0158302258647e-314,2.01583017645813e-314,0,1,107,"-",0,0,30,0,0,0,"","",5,49000,408,0,"-","NTIC_0609","","TEMP525","TEMP526",66.3659228064
"20",NA,2.01586367410892e-314,2.01579055338147e-314,2.01583017645813e-314,0,1,107,"-",0,0,30,0,0,0,"신규도로","",5,49000,408,0,"-","NTIC_0611_S","","","TEMP526",176.87687348
"21",NA,2.01586372351549e-314,2.01583017645813e-314,2.01579055338147e-314,0,1,107,"-",0,0,30,0,0,0,"신규도로","",5,49000,408,0,"-","NTIC_0609","","TEMP526","",176.876873481
"22",NA,2.01586377292205e-314,2.01579084883273e-314,2.01583032467783e-314,0,1,107,"-",0,0,30,0,0,0,"","",5,49000,408,0,"-","NTIC_0611_S","","","TEMP524",183.053914185
"23",NA,2.01586382232862e-314,2.01583032467783e-314,2.01579084883273e-314,0,1,107,"-",0,0,30,0,0,0,"","",5,49000,408,0,"-","NTIC_0609","","TEMP524","",183.053859133
