"","FID_","LINK_ID","F_NODE","T_NODE","ROAD_USE","LANES","ROAD_RANK","ROAD_NAME","MULTI_LINK","CONNECT","MAX_SPD","REST_VEH","REST_W","REST_H","REMARK","USER_ID","WORKSTATE","DEPT_CODE","STNL_REG","ROAD_TYPE","ROAD_NO","TMPID","UPLOAD_ID","SOSFNODEID","SOSTNODEID","SHAPE_STLe"
"1",NA,4080151400,4080093200,4080093300,0,1,107,"-",0,0,50,0,43200,0,"새가름교","",5,49000,408,3,"-","NTIC_0609_S","","TEMP102","TEMP103",29.7893576788
"2",NA,4080151500,4080094600,4080013503,0,1,107,"-",0,0,50,0,43200,0,"모살물교","",5,49000,408,3,"-","NTIC_0609_S","","TEMP676","",79.2319001324
"3",NA,4080151600,4080013503,4080094600,0,1,107,"-",0,0,50,0,43200,0,"모살물교","",5,49000,408,3,"-","NTIC_0611_S","","","TEMP676",79.2316882185
"4",NA,4080151900,4080092300,4080092200,0,1,107,"-",0,0,50,0,32400,0,"서중교","",5,49000,408,3,"-","NTIC_0609_S","","TEMP572","TEMP571",40.6224021617
"5",NA,4080152000,4080092200,4080092300,0,1,107,"-",0,0,50,0,32400,0,"서중교","",5,49000,408,3,"-","NTIC_0609_S","","TEMP571","TEMP572",40.6223907753
"6",NA,4080152100,4080090700,4080090600,0,1,107,"-",0,0,50,0,0,0,"","",5,49000,408,0,"-","NTIC_0609_S","","TEMP573","TEMP574",46.284997847
"7",NA,4080152200,4080090600,4080090700,0,1,107,"-",0,0,50,0,0,0,"","",5,49000,408,0,"-","NTIC_0609_S","","TEMP574","TEMP573",46.2849187164
"8",NA,4080152300,4080087500,4080087200,0,1,107,"-",0,0,30,0,0,0,"","",5,49000,408,0,"-","NTIC_0609_S","","TEMP563","TEMP82",64.6339646442
"9",NA,4080152400,4080087200,4080087500,0,1,107,"-",0,0,30,0,0,0,"","",5,49000,408,0,"-","NTIC_0609","","TEMP82","TEMP563",64.6339443489
"10",NA,4080152500,4080005501,4080085600,0,1,107,"-",0,0,50,0,0,0,"","",5,49000,408,0,"-","NTIC_0611_S","","","TEMP536",245.100987767
"11",NA,4080152600,4080085600,4080005501,0,1,107,"-",0,0,50,0,0,0,"","",5,49000,408,0,"-","NTIC_0609","","TEMP536","",245.101052064
"12",NA,4080152700,4080087000,4080087100,0,2,103,"일반국도12호선",0,0,50,0,0,0,"","",5,49000,408,0,"12","NTIC_0609","","TEMP540","TEMP535",356.171994233
"13",NA,4080152800,4080087100,4080087000,0,2,103,"일반국도12호선",0,0,50,0,0,0,"","",5,49000,408,0,"12","NTIC_0609","","TEMP535","TEMP540",356.171596125
"14",NA,4080152900,4080085600,4080087100,0,1,107,"-",0,0,50,0,0,0,"","",5,49000,408,0,"-","NTIC_0609","","TEMP536","TEMP535",283.188666031
"15",NA,4080153000,4080087100,4080085600,0,1,107,"-",0,0,50,0,0,0,"","",5,49000,408,0,"-","NTIC_0609","","TEMP535","TEMP536",283.188668676
"16",NA,4080153100,4080084800,4080084700,0,1,107,"-",0,0,50,0,0,0,"","",5,49000,408,0,"-","NTIC_0609","","TEMP531","TEMP532",117.354262392
"17",NA,4080153200,4080084700,4080084800,0,1,107,"-",0,0,50,0,0,0,"","",5,49000,408,0,"-","NTIC_0609","","TEMP532","TEMP531",117.354485206
"18",NA,4080153300,4080085700,4080085800,0,1,107,"-",0,0,30,0,0,0,"","",5,49000,408,0,"-","NTIC_0609","","TEMP526","TEMP525",66.3659855041
"19",NA,4080153400,4080085800,4080085700,0,1,107,"-",0,0,30,0,0,0,"","",5,49000,408,0,"-","NTIC_0609","","TEMP525","TEMP526",66.3659228064
"20",NA,4080153500,4080005502,4080085700,0,1,107,"-",0,0,30,0,0,0,"신규도로","",5,49000,408,0,"-","NTIC_0611_S","","","TEMP526",176.87687348
"21",NA,4080153600,4080085700,4080005502,0,1,107,"-",0,0,30,0,0,0,"신규도로","",5,49000,408,0,"-","NTIC_0609","","TEMP526","",176.876873481
"22",NA,4080153700,4080006100,4080086000,0,1,107,"-",0,0,30,0,0,0,"","",5,49000,408,0,"-","NTIC_0611_S","","","TEMP524",183.053914185
